Digits,Karatsuba,GradeSchool,DivConquer
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,1,0,1
10,1,0,1
11,1,0,1
12,1,0,1
13,1,0,2
14,2,0,2
15,1.33333,0,1.33333
16,2.33333,0,3
17,2.33333,0,3.66667
18,2.66667,0,3.66667
19,3,0,4
20,3,0,4
21,3.33333,0,4
22,4.66667,0,5.66667
23,5.33333,0,9
24,4.66667,0,4.66667
25,3.33333,1.66667,6
26,5,0,6
27,3,0,7
28,4,0,5.33333
29,3.66667,0,6
30,4,0,5
31,4.33333,0,6
32,4,0,6
33,4.33333,0,8.33333
34,6.33333,0,8.66667
35,6.33333,0,11.6667
36,6,0,10
37,6,0,10.3333
38,6.66667,0,10.6667
39,7,0,10.6667
40,7.66667,0,13.3333
41,15.6667,0,12.3333
42,9.33333,0,15.3333
43,10.3333,0,16
44,12.6667,0,17
45,12.3333,0,15
46,7.66667,0,11.3333
47,8.66667,0,12
48,9.33333,0,12.3333
49,9.33333,0,18
50,11,0,38
51,17,0,31
52,19,0,38
53,23.6667,0,21.6667
54,12.3333,0,21.3333
55,10.3333,0,20
56,13.6667,0,38
57,16,0,21
58,10.3333,0,22.6667
59,11.6667,0,22.3333
60,11,0,22
61,11,0,23.3333
62,15,0,31.3333
63,16,0,32
64,15,0,29
65,16,0.333333,35.3333
66,17.6667,0,34.3333
67,14.6667,0,33.6667
68,16.3333,0,32.3333
69,16.6667,0,35.6667
70,16,0,32.3333
71,16.3333,0,34.6667
72,17.6667,0,35.3333
73,16,0,35
74,17.6667,0,46
75,17.3333,0,42
76,18,0,37.3333
77,18.6667,0,40.6667
78,20.3333,0,40.3333
79,20.6667,0,40
80,19.6667,0,37
81,19.3333,0,41.3333
82,20.3333,0,39.3333
83,21,0,41
84,21,0,40
85,21.6667,0,42
86,21.6667,0,41
87,21,0,41.6667
88,21.6667,0,57.3333
89,33,0,46.3333
90,25.6667,0,41.6667
91,24,0,47.3333
92,26.3333,0,47
93,27.6667,0,46.3333
94,44.3333,0.666667,64.3333
